DATE_FROM,PRODUCTNAME,GERMANY_DEMAND_[MW],GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],TIME_SLOT,DATE_TIME,TIME_SLOT_LABEL,TIMESTAMP
2025-04-10,NEGPOS_00_04,528,18.0,00_04,2025-04-10,00:00-04:00,2025-04-10 00:00:00
2025-04-10,NEGPOS_04_08,528,56.19,04_08,2025-04-10,04:00-08:00,2025-04-10 04:00:00
2025-04-10,NEGPOS_08_12,528,91.5,08_12,2025-04-10,08:00-12:00,2025-04-10 08:00:00
2025-04-10,NEGPOS_12_16,528,98.0,12_16,2025-04-10,12:00-16:00,2025-04-10 12:00:00
2025-04-10,NEGPOS_16_20,528,60.0,16_20,2025-04-10,16:00-20:00,2025-04-10 16:00:00
2025-04-10,NEGPOS_20_24,528,27.77,20_24,2025-04-10,20:00-24:00,2025-04-10 20:00:00
