DATE_FROM;DATE_TO;PRODUCT_TYPE;TENDER_NUMBER;PRODUCTNAME;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEMAND_[MW];AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW];BELGIUM_DEMAND_[MW];BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW];DENMARK_DEMAND_[MW];DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DENMARK_DEFICIT(-)_SURPLUS(+)_[MW];FRANCE_DEMAND_[MW];FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FRANCE_DEFICIT(-)_SURPLUS(+)_[MW];GERMANY_DEMAND_[MW];GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW];GERMANY_DEFICIT(-)_SURPLUS(+)_[MW];NETHERLANDS_DEMAND_[MW];NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW];SLOVENIA_DEMAND_[MW];SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW];SWITZERLAND_DEMAND_[MW];SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW];CZECH_REPUBLIC_DEMAND_[MW];CZECH_REPUBLIC_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CZECH_REPUBLIC_DEFICIT(-)_SURPLUS(+)_[MW]
26/03/2025;26/03/2025;FCR;1;NEGPOS_12_16;72,17;65;72,17;38;86;72,17;-52;25;69;-20;516;72,17;-39;528;69;185;123;72,17;-51;14;72,17;-12;67;72,17;-40;73;72,17;-9
26/03/2025;26/03/2025;FCR;1;NEGPOS_16_20;72;65;72;36;86;72;-25;25;72;-21;516;72;71;528;72;72;123;72;-70;14;72;-14;67;72;-37;73;72;-12
26/03/2025;26/03/2025;FCR;1;NEGPOS_20_24;36,71;65;36,71;-2;86;41,92;-60;25;36,71;-23;516;14,01;154;528;36,71;87;123;36,71;-85;14;36,71;-14;67;48;-45;73;36,71;-12
27/03/2025;27/03/2025;FCR;1;NEGPOS_00_04;25,76;65;25,76;0;86;35,44;-60;25;18,4;-21;516;25,76;48;528;18,4;186;123;25,76;-85;14;25,76;-14;67;68,23;-41;73;25,76;-13
27/03/2025;27/03/2025;FCR;1;NEGPOS_04_08;34,09;65;34,09;5;86;36,25;-60;25;34,09;-20;516;34,09;88;528;34,09;141;123;34,09;-78;14;34,09;-14;67;60,05;-46;73;34,09;-16
27/03/2025;27/03/2025;FCR;1;NEGPOS_08_12;56,2;65;56,2;11;86;56,2;-37;25;56,2;-20;516;56,2;150;528;56,2;51;123;56,2;-84;14;56,2;-14;67;56,2;-43;73;56,2;-14
27/03/2025;27/03/2025;FCR;1;NEGPOS_12_16;109;65;109;11;86;109;-11;25;109;-20;516;11,56;154;528;109;-11;123;109;-66;14;109;-7;67;109;-41;73;109;-9
27/03/2025;27/03/2025;FCR;1;NEGPOS_16_20;62,7;65;62,7;11;86;62,7;-53;25;62,7;-21;516;62,7;132;528;62,7;70;123;62,7;-71;14;62,7;-14;67;62,7;-45;73;62,7;-9
27/03/2025;27/03/2025;FCR;1;NEGPOS_20_24;20;65;20;5;86;34,36;-60;25;20;-21;516;13,81;154;528;20;68;123;20;-77;14;20;-14;67;58,55;-42;73;20;-13
28/03/2025;28/03/2025;FCR;1;NEGPOS_00_04;16,4;65;16,4;11;86;59,34;-60;25;16,4;-19;516;16,4;84;528;16,4;140;123;40;-81;14;16,4;-14;67;100;-45;73;16,4;-16
28/03/2025;28/03/2025;FCR;1;NEGPOS_04_08;26,8;65;26,8;1;86;59;-60;25;26,8;-19;516;26,8;103;528;26,8;141;123;40;-86;14;26,8;-14;67;84;-45;73;26,8;-21
28/03/2025;28/03/2025;FCR;1;NEGPOS_08_12;92;65;92;17;86;92;-49;25;92;-19;516;92;122;528;92;73;123;92;-77;14;92;-14;67;92;-32;73;92;-21
28/03/2025;28/03/2025;FCR;1;NEGPOS_12_16;116,68;65;116,68;12;86;116,68;-15;25;116,68;-25;516;46,2;154;528;116,68;10;123;116,68;-67;14;116,68;-7;67;120;-45;73;116,68;-16
28/03/2025;28/03/2025;FCR;1;NEGPOS_16_20;69,52;65;69,52;30;86;69,52;-59;25;69,52;-19;516;46,76;154;528;69,52;39;123;69,52;-70;14;69,52;-14;67;69,52;-45;73;69,52;-16
28/03/2025;28/03/2025;FCR;1;NEGPOS_20_24;23;65;23;1;86;55,8;-60;25;23;-25;516;23;151;528;23;94;123;40;-86;14;23;-14;67;88;-45;73;23;-16
29/03/2025;29/03/2025;FCR;1;NEGPOS_00_04;15,83;65;15,83;12;86;49,96;-60;25;15,83;-21;516;12;154;528;15,83;75;123;40;-86;14;15,83;-14;67;100;-36;73;15,83;-24
29/03/2025;29/03/2025;FCR;1;NEGPOS_04_08;20,35;65;20,35;14;86;51,56;-60;25;20,35;-15;516;20,35;118;528;20,35;111;123;40;-86;14;20,35;-14;67;100;-46;73;20,35;-22
29/03/2025;29/03/2025;FCR;1;NEGPOS_08_12;104;65;104;25;86;104;-52;25;104;-15;516;65;154;528;104;46;123;104;-85;14;104;-12;67;104;-32;73;104;-25
29/03/2025;29/03/2025;FCR;1;NEGPOS_12_16;140;65;140;6;86;140;-17;25;140;-15;516;58,37;154;528;140;8;123;140;-80;14;140;-11;67;140;-27;73;140;-18
29/03/2025;29/03/2025;FCR;1;NEGPOS_16_20;80,4;65;80,4;24;86;80,4;-60;25;80,4;-15;516;61;154;528;80,4;46;123;80,4;-70;14;80,4;-14;67;83,2;-46;73;80,4;-19
29/03/2025;29/03/2025;FCR;1;NEGPOS_20_24;18,66;65;18,66;-5;86;65,76;-60;25;18,66;-15;516;12;154;528;18,66;94;123;40;-86;14;18,66;-14;67;89,5;-46;73;18,66;-22
30/03/2025;30/03/2025;FCR;1;NEGPOS_00_04;30,42;65;30,42;11;86;42,32;-60;25;30,42;-22;516;3,92;154;528;30,42;71;123;30,42;-80;14;30,42;-14;67;232;-38;73;30,42;-22
30/03/2025;30/03/2025;FCR;1;NEGPOS_04_08;39;65;39;11;86;42,12;-60;25;39;-21;516;16,08;154;528;39;66;123;39;-82;14;39;-14;67;152;-32;73;39;-22
30/03/2025;30/03/2025;FCR;1;NEGPOS_08_12;85,55;65;85,55;25;86;85,55;-28;25;85,55;-21;516;26,4;154;528;85,55;-15;123;85,55;-55;14;85,55;-14;67;152;-27;73;85,55;-19
30/03/2025;30/03/2025;FCR;1;NEGPOS_12_16;96;65;96;25;86;96;-22;25;96;-21;516;32,79;154;528;96;-4;123;96;-70;14;96;-14;67;260;-32;73;96;-15
30/03/2025;30/03/2025;FCR;1;NEGPOS_16_20;56,5;65;56,5;25;86;65,6;-60;25;56,5;-21;516;46,52;154;528;56,5;40;123;56,5;-70;14;56,5;-14;67;136;-32;73;56,5;-22
30/03/2025;30/03/2025;FCR;1;NEGPOS_20_24;20;65;20;4;86;45,96;-60;25;20;-21;516;13,85;154;528;20;84;123;40;-86;14;20;-14;67;128,05;-39;73;20;-22
31/03/2025;31/03/2025;FCR;1;NEGPOS_00_04;40,48;65;40,48;-43;86;52,23;-60;25;40,48;-15;516;40,48;138;528;40,48;124;123;40,48;-70;14;40,48;-12;67;177,82;-41;73;40,48;-21
31/03/2025;31/03/2025;FCR;1;NEGPOS_04_08;58,68;65;58,68;-24;86;58,68;-50;25;58,68;-15;516;49,68;154;528;58,68;82;123;58,68;-71;14;58,68;-14;67;169,8;-41;73;58,68;-21
31/03/2025;31/03/2025;FCR;1;NEGPOS_08_12;95,1;65;95,1;-17;86;95,1;-26;25;95,1;-15;516;95,1;119;528;95,1;78;123;95,1;-72;14;95,1;-14;67;108;-39;73;95,1;-14
31/03/2025;31/03/2025;FCR;1;NEGPOS_12_16;93,77;65;93,77;3;86;93,77;-21;25;93,77;-13;516;36,41;154;528;93,77;11;123;93,77;-64;14;93,77;-10;67;284,51;-46;73;93,77;-14
31/03/2025;31/03/2025;FCR;1;NEGPOS_16_20;94,81;65;94,81;1;86;94,81;-31;25;94,81;-15;516;49,76;154;528;94,81;28;123;94,81;-72;14;94,81;-14;67;112;-37;73;94,81;-14
31/03/2025;31/03/2025;FCR;1;NEGPOS_20_24;38,1;65;38,1;-25;86;39,88;-60;25;38,1;-15;516;15,78;154;528;38,1;106;123;40;-86;14;38,1;-14;67;108;-39;73;38,1;-21
