DATE_FROM;DATE_TO;PRODUCT_TYPE;TENDER_NUMBER;PRODUCTNAME;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEMAND_[MW];AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW];BELGIUM_DEMAND_[MW];BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW];DENMARK_DEMAND_[MW];DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DENMARK_DEFICIT(-)_SURPLUS(+)_[MW];FRANCE_DEMAND_[MW];FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FRANCE_DEFICIT(-)_SURPLUS(+)_[MW];GERMANY_DEMAND_[MW];GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW];GERMANY_DEFICIT(-)_SURPLUS(+)_[MW];NETHERLANDS_DEMAND_[MW];NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW];SLOVENIA_DEMAND_[MW];SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW];SWITZERLAND_DEMAND_[MW];SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW];CZECH_REPUBLIC_DEMAND_[MW];CZECH_REPUBLIC_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CZECH_REPUBLIC_DEFICIT(-)_SURPLUS(+)_[MW]
10/04/2025;10/04/2025;FCR;1;NEGPOS_00_04;18,00;65,00;18,00;-12,00;86,00;38,64;-60,00;25,00;18,00;-15,00;516,00;18,00;132,00;528,00;18,00;105,00;123,00;18,00;-80,00;14,00;18,00;-14,00;67,00;116,95;-41,00;73,00;18,00;-15,00
10/04/2025;10/04/2025;FCR;1;NEGPOS_04_08;56,19;65,00;56,19;2,00;86,00;56,19;-51,00;25,00;56,19;-14,00;516,00;39,36;154,00;528,00;56,19;45,00;123,00;56,19;-70,00;14,00;56,19;-14,00;67,00;172,84;-40,00;73,00;56,19;-12,00
10/04/2025;10/04/2025;FCR;1;NEGPOS_08_12;91,50;65,00;91,50;18,00;86,00;98,00;-49,00;25,00;91,50;-15,00;516,00;91,50;122,00;528,00;91,50;35,00;123,00;91,50;-66,00;14,00;91,50;-13,00;67,00;222,77;-23,00;73,00;91,50;-9,00
10/04/2025;10/04/2025;FCR;1;NEGPOS_12_16;98,00;65,00;98,00;16,00;86,00;98,00;-22,00;25,00;98,00;-13,00;516,00;98,00;146,00;528,00;98,00;-13,00;123,00;98,00;-43,00;14,00;98,00;-13,00;67,00;352,00;-45,00;73,00;98,00;-13,00
10/04/2025;10/04/2025;FCR;1;NEGPOS_16_20;60,00;65,00;60,00;24,00;86,00;60,00;-54,00;25,00;60,00;-17,00;516,00;11,00;154,00;528,00;60,00;15,00;123,00;60,00;-66,00;14,00;60,00;-14,00;67,00;189,72;-28,00;73,00;60,00;-8,00
10/04/2025;10/04/2025;FCR;1;NEGPOS_20_24;27,77;65,00;27,77;4,00;86,00;41,12;-60,00;25,00;27,77;-19,00;516,00;23,40;154,00;528,00;27,77;76,00;123,00;45,00;-86,00;14,00;27,77;-14,00;67,00;159,50;-41,00;73,00;27,77;-14,00
